Subject,ItemNo,Reaction.Time,Condition,item_num
aiy093,27,580.6799999991199,unrelated,Odd
aiy093,28,512.9299999971408,related,Even
aiy093,28,724.8350000008941,unrelated,Even
aiy093,29,694.1500000102678,unrelated,Odd
aiy093,29,446.82499998807907,related,Odd
aiy093,30,936.2400000100024,unrelated,Even
aiy093,30,509.3650000053458,related,Even
aiy093,32,512.6299999974435,related,Even
aiy093,32,759.5900000014808,unrelated,Even
aiy093,33,649.9750000075437,related,Odd
aiy093,33,982.2200000137091,unrelated,Odd
aiy093,34,794.2250000238419,unrelated,Even
aiy093,34,653.1050000041723,related,Even
aiy093,35,690.5249999981606,unrelated,Odd
aiy093,35,1547.8149999980815,related,Odd
aiy093,36,536.6649999923538,related,Even
aiy093,36,400.97000001370907,unrelated,Even
aiy093,37,577.419999986887,unrelated,Odd
aiy093,37,568.3900000003632,related,Odd
aiy093,38,534.1650000045775,unrelated,Even
aiy093,38,493.0600000023842,related,Even
aiy093,39,550.424999993993,related,Odd
aiy093,39,300.6600000113249,unrelated,Odd
aiy093,40,852.469999997993,related,Even
aiy093,40,562.5100000033854,unrelated,Even
atl218,1,737.544999923557,unrelated,Odd
atl218,1,670.4850000096485,related,Odd
atl218,2,568.859999999404,related,Even
atl218,2,564.1599999507889,unrelated,Even
atl218,3,668.8200000207871,unrelated,Odd
atl218,3,755.2600000053644,related,Odd
atl218,4,1279.4699999503791,related,Even
atl218,4,572.2350000869483,unrelated,Even
atl218,5,497.78500001411885,unrelated,Odd
atl218,5,518.2799999602139,related,Odd
atl218,6,499.10000001545995,unrelated,Even
atl218,6,520.9399999585003,related,Even
atl218,7,613.4150000289083,unrelated,Odd
atl218,7,540.9900000086054,related,Odd
atl218,8,847.6400000508875,unrelated,Even
atl218,8,536.9850000133738,related,Even
atl218,9,677.2300000302494,unrelated,Odd
atl218,9,606.1749999644235,related,Odd
atl218,11,511.5900000091642,related,Odd
atl218,11,646.7350000748411,unrelated,Odd
atl218,12,1006.7500000586733,unrelated,Even
atl218,12,601.5599999809638,related,Even
atl218,13,509.57500003278255,unrelated,Odd
atl218,13,484.4650001032278,related,Odd
atl218,14,664.2200000351295,related,Even
atl218,14,873.1299999635667,unrelated,Even
atl218,15,836.0250000841916,unrelated,Odd
atl218,15,463.83000002242625,related,Odd
atl218,16,925.2300000516698,unrelated,Even
atl218,16,513.7600000016391,related,Even
atl218,18,650.2500000642613,unrelated,Even
atl218,18,795.3999999444932,related,Even
atl218,19,1147.9149999795482,related,Odd
atl218,19,590.6450001057237,unrelated,Odd
atl218,20,718.6049999436364,unrelated,Even
atl218,20,561.5649999817833,related,Even
atl218,21,598.2850000727922,related,Odd
atl218,21,565.2850000187755,unrelated,Odd
atl218,22,555.240000016056,unrelated,Even
atl218,22,506.1850000638515,related,Even
atl218,23,581.4500000560656,related,Odd
atl218,23,529.1800000704825,unrelated,Odd
atl218,25,583.7649999884889,unrelated,Odd
atl218,25,645.7200000295416,related,Odd
atl218,26,721.9899999909103,related,Even
atl218,26,666.5749999228865,unrelated,Even
atl218,27,639.5250000059605,unrelated,Odd
atl218,27,458.39499996509403,related,Odd
atl218,28,655.9549999656156,related,Even
atl218,28,507.41500000003725,unrelated,Even
atl218,29,613.1600000662729,related,Odd
atl218,29,582.4250000296161,unrelated,Odd
atl218,30,904.7750000609085,unrelated,Even
atl218,30,535.5200000340119,related,Even
atl218,31,693.8150000059977,unrelated,Odd
atl218,31,782.4049999471754,related,Odd
atl218,32,832.5349999358878,related,Even
atl218,32,636.6200000047684,unrelated,Even
atl218,33,660.8550000237301,unrelated,Odd
atl218,33,504.8749999841675,related,Odd
atl218,34,819.9749999912456,related,Even
atl218,34,509.88499994855374,unrelated,Even
atl218,35,537.6049999613315,related,Odd
atl218,35,497.31500004418194,unrelated,Odd
atl218,36,532.4750000145286,related,Even
atl218,36,456.525000045076,unrelated,Even
atl218,37,568.5549998888746,unrelated,Odd
atl218,37,543.0750000523403,related,Odd
atl218,38,710.3249999927357,unrelated,Even
atl218,38,634.2299999669194,related,Even
atl218,39,610.6650000438094,unrelated,Odd
atl218,39,516.7350000701845,related,Odd
atl218,40,1024.7999998973683,related,Even
atl218,40,555.7399999815971,unrelated,Even
aus204,1,610.8400000086986,unrelated,Odd
aus204,1,561.0450000092387,related,Odd
aus204,2,564.6199999901,unrelated,Even
aus204,2,564.6399999968708,related,Even
aus204,3,691.2499999743886,related,Odd
aus204,3,567.2650000196882,unrelated,Odd
aus204,4,473.2500000100117,related,Even
aus204,4,745.5600000103004,unrelated,Even
aus204,5,498.6849999986589,unrelated,Odd
aus204,5,502.7149999802932,related,Odd
aus204,6,625.5799999926239,related,Even
aus204,6,625.0900000161491,unrelated,Even
aus204,7,572.3050000087824,unrelated,Odd
aus204,7,571.5499999932945,related,Odd
aus204,8,580.5699999909848,unrelated,Even
aus204,8,606.8600000003353,related,Even
aus204,9,677.865000005113,unrelated,Odd
aus204,9,510.90000002272427,related,Odd
aus204,10,559.4750000163913,related,Even
aus204,10,629.8549999776296,unrelated,Even
aus204,11,597.6099999970756,unrelated,Odd
aus204,11,614.3149999843445,related,Odd
aus204,12,442.08499998785555,related,Even
aus204,12,606.9200000199489,unrelated,Even
aus204,13,615.5649999855086,unrelated,Odd
aus204,13,567.1200000215322,related,Odd
aus204,14,702.5499999872409,unrelated,Even
aus204,14,430.14999999990687,related,Even
aus204,15,594.8499999940395,unrelated,Odd
aus204,15,560.8699999866076,related,Odd
aus204,16,692.6049999892712,unrelated,Even
aus204,16,571.4999999911524,related,Even
aus204,18,645.989999989979,related,Even
aus204,18,564.5300000030547,unrelated,Even
aus204,19,571.5600000112318,unrelated,Odd
aus204,19,621.5849999864586,related,Odd
aus204,20,573.9049999974668,related,Even
aus204,20,457.4599999759812,unrelated,Even
aus204,21,576.1300000012852,unrelated,Odd
aus204,21,501.8649999983609,related,Odd
aus204,22,522.1799999999348,unrelated,Even
aus204,22,763.2199999936856,related,Even
aus204,23,432.97500000335276,related,Odd
aus204,23,740.1700000045821,unrelated,Odd
aus204,24,568.6949999942444,related,Even
aus204,24,557.824999996461,unrelated,Even
aus204,25,613.8900000078138,unrelated,Odd
aus204,25,476.4300000097137,related,Odd
aus204,27,427.8899999917485,related,Odd
aus204,27,566.6699999999255,unrelated,Odd
aus204,28,517.5250000029337,unrelated,Even
aus204,28,455.99499999685213,related,Even
aus204,29,457.6250000100117,unrelated,Odd
aus204,29,577.9650000040419,related,Odd
aus204,31,718.8200000091456,related,Odd
aus204,31,795.0450000059791,unrelated,Odd
aus204,32,472.3999999987427,related,Even
aus204,32,785.8349999878556,unrelated,Even
aus204,33,830.5450000043493,related,Odd
aus204,33,570.9349999958649,unrelated,Odd
aus204,34,774.9049999983981,unrelated,Even
aus204,34,569.3350000074133,related,Even
aus204,35,570.9800000186078,unrelated,Odd
aus204,35,627.004999987781,related,Odd
aus204,36,566.7200000025332,unrelated,Even
aus204,36,557.6699999803677,related,Even
aus204,37,624.934999999823,unrelated,Odd
aus204,37,938.9250000240281,related,Odd
aus204,38,504.5850000169594,unrelated,Even
aus204,38,642.7099999855272,related,Even
aus204,40,561.7649999912828,unrelated,Even
aus204,40,510.4249999858439,related,Even
axt253,10,928.4199999997509,related,Even
axt253,33,591.1449999998658,unrelated,Odd
bbs259,1,560.7449999997625,related,Odd
bbs259,1,610.3849999998929,unrelated,Odd
bbs259,2,644.4700000001758,related,Even
bbs259,2,609.4649999995017,unrelated,Even
bbs259,4,998.6150000004563,related,Even
bbs259,4,719.8400000006659,unrelated,Even
bbs259,5,528.3849999996164,related,Odd
bbs259,5,551.52500000078,unrelated,Odd
bbs259,7,848.5349999991886,unrelated,Odd
bbs259,7,579.4750000004424,related,Odd
bbs259,8,546.3499999996275,unrelated,Even
bbs259,8,472.6899999995949,related,Even
bbs259,9,837.4999999996217,unrelated,Odd
bbs259,9,514.145000000135,related,Odd
bbs259,10,498.36999999935506,related,Even
bbs259,10,612.0599999994738,unrelated,Even
bbs259,11,587.9700000005541,unrelated,Odd
bbs259,11,434.50499999918975,related,Odd
bbs259,12,467.9400000004098,related,Even
bbs259,12,517.5149999995483,unrelated,Even
bbs259,13,546.1949999998906,unrelated,Odd
bbs259,13,519.430000000284,related,Odd
bbs259,15,530.114999999525,unrelated,Odd
bbs259,15,586.3600000002189,related,Odd
bbs259,16,1289.2000000001572,unrelated,Even
bbs259,16,1118.3300000003073,related,Even
bbs259,17,527.2050000003073,unrelated,Odd
bbs259,17,671.2600000001257,related,Odd
bbs259,18,544.0499999995227,unrelated,Even
bbs259,18,609.0349999995087,related,Even
bbs259,19,722.7849999999162,unrelated,Odd
bbs259,19,467.6349999998929,related,Odd
bbs259,20,764.7449999995297,related,Even
bbs259,20,573.2650000008289,unrelated,Even
bbs259,21,576.6149999999325,related,Odd
bbs259,21,560.8499999998603,unrelated,Odd
bbs259,22,806.234999999986,unrelated,Even
bbs259,22,1283.2600000002421,related,Even
bbs259,24,629.724999999773,unrelated,Even
bbs259,24,503.4300000006333,related,Even
bbs259,25,533.2200000002631,unrelated,Odd
bbs259,25,449.53499999968335,related,Odd
bbs259,26,557.75,related,Even
bbs259,26,530.0699999998324,unrelated,Even
bbs259,27,931.7599999994854,unrelated,Odd
bbs259,27,444.74999999965075,related,Odd
bbs259,28,681.4849999991711,unrelated,Even
bbs259,28,505.9499999997206,related,Even
bbs259,29,855.6399999997229,related,Odd
bbs259,29,733.8799999997718,unrelated,Odd
bbs259,30,1788.5799999994924,related,Even
bbs259,30,1004.2650000004796,unrelated,Even
bbs259,31,740.7499999999272,related,Odd
bbs259,31,504.31500000006054,unrelated,Odd
bbs259,35,608.9750000001004,unrelated,Odd
bbs259,35,466.59499999985565,related,Odd
bbs259,36,507.27000000013504,related,Even
bbs259,36,524.7149999995017,unrelated,Even
bbs259,37,1801.0299999996205,related,Odd
bbs259,37,515.1550000000279,unrelated,Odd
bbs259,38,741.9049999998533,unrelated,Even
bbs259,38,490.32500000071013,related,Even
bbs259,39,758.5399999998044,unrelated,Odd
bbs259,39,883.104999999865,related,Odd
bbs259,40,1492.6349999996019,related,Even
bbs259,40,588.7899999998044,unrelated,Even
bid071,1,514.2950001172721,related,Odd
bid071,1,588.9649998862296,unrelated,Odd
bid071,2,455.36500005982816,related,Even
bid071,2,1662.7150001004338,unrelated,Even
bid071,3,727.3300001397729,related,Odd
bid071,3,676.719999872148,unrelated,Odd
bid071,4,977.5499999523163,related,Even
bid071,4,1043.0550000164658,unrelated,Even
bid071,5,620.7300000824034,unrelated,Odd
bid071,5,484.6600000746548,related,Odd
bid071,6,731.4500000793487,unrelated,Even
bid071,6,789.9849999230355,related,Even
bid071,7,1143.754999851808,unrelated,Odd
bid071,7,859.3699999619275,related,Odd
bid071,8,544.2449999973178,related,Even
bid071,8,524.4650000240654,unrelated,Even
bid071,9,804.424999980256,unrelated,Odd
bid071,9,606.1099998187274,related,Odd
bid071,11,742.3900000285357,related,Odd
bid071,11,703.0849999282509,unrelated,Odd
bid071,12,646.6500000096858,unrelated,Even
bid071,12,724.5600000023842,related,Even
bid071,13,651.1849998496473,related,Odd
bid071,13,575.0049999915063,unrelated,Odd
bid071,14,596.3349998928607,unrelated,Even
bid071,14,895.9849998354912,related,Even
bid071,15,549.170000012964,related,Odd
bid071,15,492.95499990694225,unrelated,Odd
bid071,16,811.2950001377612,unrelated,Even
bid071,16,464.8249999154359,related,Even
bid071,17,584.2049999628216,unrelated,Odd
bid071,17,1518.3250000700355,related,Odd
bid071,18,687.3849998228252,related,Even
bid071,18,581.3500001095235,unrelated,Even
bid071,19,666.5099998936057,related,Odd
bid071,19,494.270000141114,unrelated,Odd
bid071,20,1120.8650001790375,unrelated,Even
bid071,20,864.0449999365956,related,Even
bid071,21,863.209999864921,related,Odd
bid071,21,727.540000109002,unrelated,Odd
bid071,22,776.8650001380593,unrelated,Even
bid071,22,548.380000051111,related,Even
bid071,23,787.6299999188632,related,Odd
bid071,23,771.21499995701015,unrelated,Odd
bid071,24,566.6350000537932,related,Even
bid071,24,753.6850001197308,unrelated,Even
bid071,26,668.0349998641759,unrelated,Even
bid071,26,517.8650000598282,related,Even
bid071,27,883.6250000167638,related,Odd
bid071,27,1149.1149999201298,unrelated,Odd
bid071,28,684.5549999270588,unrelated,Even
bid071,28,626.359999878332,related,Even
bid071,29,833.4500000346452,related,Odd
bid071,29,625.1550000160933,unrelated,Odd
bid071,30,576.2899999972433,related,Even
bid071,30,605.4699998348951,unrelated,Even
bid071,31,652.6249998714775,unrelated,Odd
bid071,31,568.0849999189377,related,Odd
bid071,32,848.5550000332296,related,Even
bid071,32,558.6449999827892,unrelated,Even
bid071,33,589.8249999154359,unrelated,Odd
bid071,34,675.9349999483675,unrelated,Even
bid071,34,601.7150001134723,related,Even
bid071,35,687.8950002137572,unrelated,Odd
bid071,35,666.4599999785423,related,Odd
bid071,36,726.7900002188981,related,Even
bid071,36,629.5649998355657,unrelated,Even
bid071,37,634.1750000137836,related,Odd
bid071,37,742.9249999113381,unrelated,Odd
bid071,38,564.0099998563528,related,Even
bid071,38,546.9200001098216,unrelated,Even
bid071,39,839.6900000516325,unrelated,Odd
bid071,39,1220.5550000071526,related,Odd
bid071,40,668.0499999783933,related,Even
bid071,40,679.340000031516,unrelated,Even
bnc030,1,776.6099999998696,unrelated,Odd
bnc030,1,577.940000000177,related,Odd
bnc030,2,893.4850000005099,related,Even
bnc030,2,739.9500000001863,unrelated,Even
bnc030,3,1036.0149999996793,unrelated,Odd
bnc030,3,695.894999999844,related,Odd
bnc030,4,527.2050000003073,related,Even
bnc030,4,654.7700000000186,unrelated,Even
bnc030,5,578.4450000000943,unrelated,Odd
bnc030,5,592.1150000003981,related,Odd
bnc030,6,657.9050000000279,related,Even
bnc030,6,493.4450000000652,unrelated,Even
bnc030,7,561.2049999999872,related,Odd
bnc030,7,593.2150000007823,unrelated,Odd
bnc030,8,553.6350000001839,unrelated,Even
bnc030,8,750.1899999997113,related,Even
bnc030,9,607.5999999993364,related,Odd
bnc030,9,763.8050000005169,unrelated,Odd
bnc030,10,742.9099999999453,related,Even
bnc030,10,836.8450000006706,unrelated,Even
bnc030,11,685.3700000001409,related,Odd
bnc030,11,574.660000000149,unrelated,Odd
bnc030,12,657.1299999996554,related,Even
bnc030,12,563.7850000003818,unrelated,Even
bnc030,13,1747.5549999999057,related,Odd
bnc030,13,788.835000000312,unrelated,Odd
bnc030,14,596.9549999999581,unrelated,Even
bnc030,14,623.7099999998463,related,Even
bnc030,15,878.6200000004173,unrelated,Odd
bnc030,15,560.6550000002608,related,Odd
bnc030,17,698.6149999993213,related,Odd
bnc030,17,771.5250000001397,unrelated,Odd
bnc030,18,938.6599999997998,related,Even
bnc030,18,619.4999999998254,unrelated,Even
bnc030,19,617.6500000001397,unrelated,Odd
bnc030,19,634.2500000001164,related,Odd
bnc030,20,640.814999999755,unrelated,Even
bnc030,20,573.3149999995949,related,Even
bnc030,21,599.0950000004668,related,Odd
bnc030,21,627.4000000003143,unrelated,Odd
bnc030,22,907.7550000001793,unrelated,Even
bnc030,22,607.6199999997625,related,Even
bnc030,24,796.4050000000279,unrelated,Even
bnc030,24,590.4100000007311,related,Even
bnc030,25,667.995000000752,related,Odd
bnc030,25,663.5500000002212,unrelated,Odd
bnc030,26,702.8849999996964,unrelated,Even
bnc030,26,503.49500000083935,related,Even
bnc030,27,662.0750000001863,unrelated,Odd
bnc030,27,813.5700000002689,related,Odd
bnc030,28,576.6400000001886,related,Even
bnc030,28,595.2549999993062,unrelated,Even
bnc030,29,619.5349999997998,unrelated,Odd
bnc030,29,523.2700000006007,related,Odd
bnc030,30,781.5499999996973,unrelated,Even
bnc030,30,775.3149999998277,related,Even
bnc030,31,884.7999999998137,unrelated,Odd
bnc030,31,615.710000000021,related,Odd
bnc030,32,809.3299999999581,unrelated,Even
bnc030,32,540.4850000004517,related,Even
bnc030,33,687.9599999992934,unrelated,Odd
bnc030,33,581.4049999999115,related,Odd
bnc030,34,594.1549999997806,related,Even
bnc030,34,676.1399999995483,unrelated,Even
bnc030,35,639.4149999996298,related,Odd
bnc030,35,588.0699999998324,unrelated,Odd
bnc030,36,833.6499999995576,unrelated,Even
bnc030,36,572.6050000002142,related,Even
bnc030,37,711.765000000014,related,Odd
bnc030,37,549.8799999996554,unrelated,Odd
bnc030,38,731.2999999994645,related,Even
bnc030,38,791.9750000000931,unrelated,Even
bnc030,39,634.9700000000885,related,Odd
bnc030,39,637.2799999999115,unrelated,Odd
bnc030,40,539.7499999998836,related,Even
bnc030,40,608.4749999999767,unrelated,Even
bru064,1,641.364999988582,unrelated,Odd
bru064,1,616.5749999927357,related,Odd
bru064,2,501.34000001708046,related,Even
bru064,2,720.2849999885075,unrelated,Even
bru064,3,618.0949999834411,related,Odd
bru064,3,657.7450000331737,unrelated,Odd
bru064,4,498.1149999657646,unrelated,Even
bru064,4,519.5850000018254,related,Even
bru064,5,744.9149999883957,related,Odd
bru064,5,440.32499997410923,unrelated,Odd
bru064,6,451.64500002283603,related,Even
bru064,6,499.58000000333413,unrelated,Even
bru064,7,499.05499996384606,unrelated,Odd
bru064,7,806.0000000405125,related,Odd
bru064,8,825.1150000141934,unrelated,Even
bru064,8,642.5700000254437,related,Even
bru064,9,598.3199999900535,unrelated,Odd
bru064,9,465.70999996038154,related,Odd
bru064,10,502.2750000352971,related,Even
bru064,10,481.42500000540167,unrelated,Even
bru064,11,925.8649999974295,related,Odd
bru064,11,518.7049999949522,unrelated,Odd
bru064,12,598.7299999687821,unrelated,Even
bru064,12,543.4499999973923,related,Even
bru064,13,516.7399999918416,related,Odd
bru064,13,523.1149999890476,unrelated,Odd
bru064,14,484.3600000021979,related,Even
