ID,TRIAL_INDEX,con,pic_percent,TransformedDwellPic,Q,acc,List
P101,22,0,0.15643485211830535,0.4066322719754327,Q32,1,List1
P101,22,0,0.15643485211830535,0.4066322719754327,Q31,1,List1
P101,23,0,0.11988208319685555,0.35356013543769593,Q33,1,List1
P101,23,0,0.11988208319685555,0.35356013543769593,Q34,1,List1
P101,24,0,0.06793487941291725,0.26368837448423965,Q35,1,List1
P101,25,0,0.10860376817823626,0.3358278193441444,Q36,1,List1
P101,26,0,0.14554427120583607,0.3914213487859849,Q38,0,List1
P101,26,0,0.14554427120583607,0.3914213487859849,Q37,1,List1
P101,27,0,0.148,0.39489110978572756,Q39,1,List1
P101,29,0,0.08833246391931839,0.30176695289770056,Q41,1,List1
P101,30,0,0.05132398264041764,0.22853203461163216,Q42,0,List1
P101,31,0,0.061629408167425424,0.2508760813369699,Q43,1,List1
P101,32,0,0.06268766468533611,0.25306762248257997,Q44,1,List1
P101,32,0,0.06268766468533611,0.25306762248257997,Q45,1,List1
P101,33,0,0.034811598697472475,0.1876785009833763,Q47,1,List1
P101,33,0,0.034811598697472475,0.1876785009833763,Q46,1,List1
P101,34,0,0.1223468347390861,0.3573374591590995,Q48,1,List1
P101,35,0,0.1455949656750572,0.3914932203131483,Q49,1,List1
P101,35,0,0.1455949656750572,0.3914932203131483,Q50,1,List1
P101,36,0,0.0892083980066988,0.30330686032538307,Q51,1,List1
P101,37,0,0.12767593140153755,0.3653944049506039,Q52,0,List1
P101,38,0,0.13335700967770575,0.3738269983751399,Q53,1,List1
P101,39,0,0.2404709881039087,0.5125239041591158,Q54,1,List1
P101,40,0,0.057853376072794956,0.24290905020005438,Q55,1,List1
P101,41,0,0.054003724394785846,0.23453116816484335,Q57,1,List1
P101,41,0,0.054003724394785846,0.23453116816484335,Q56,1,List1
P101,41,0,0.054003724394785846,0.23453116816484335,Q58,1,List1
P101,42,0,0.1286379863254069,0.36683346967696134,Q59,1,List1
P101,42,0,0.1286379863254069,0.36683346967696134,Q60,1,List1
P101,43,1,0.04499535848850544,0.21374493726452284,Q61,1,List1
P101,44,1,0.037549297339332335,0.1950100665199448,Q63,0,List1
P101,44,1,0.037549297339332335,0.1950100665199448,Q62,1,List1
P101,45,1,0.10597735597735598,0.33158451025878105,Q64,1,List1
P101,46,1,0.17279478355370403,0.42869683820966503,Q65,1,List1
P101,47,1,0.11753102654721788,0.34992567103129946,Q66,0,List1
P101,48,1,0.08558438085049479,0.2968904153215164,Q67,0,List1
P101,48,1,0.08558438085049479,0.2968904153215164,Q68,1,List1
P101,49,1,0.12992195814118482,0.36874694047493917,Q69,0,List1
P101,50,1,0.0401136664023262,0.20164774933647187,Q70,1,List1
P101,50,1,0.0401136664023262,0.20164774933647187,Q71,0,List1
P101,51,1,0.09200029276147259,0.3081701513151086,Q72,1,List1
P101,51,1,0.09200029276147259,0.3081701513151086,Q74,1,List1
P101,51,1,0.09200029276147259,0.3081701513151086,Q73,0,List1
P101,52,1,0.08351834922293326,0.2931773093725241,Q75,0,List1
P101,53,1,0.05282744848869928,0.23191556480971473,Q76,0,List1
P101,54,1,0.05350236355822948,0.23341964691137307,Q78,1,List1
P101,54,1,0.05350236355822948,0.23341964691137307,Q77,0,List1
P101,55,1,0.24991077801570308,0.5234957447954938,Q79,1,List1
P101,56,1,0.15022200296003946,0.39801018676923294,Q80,1,List1
P101,57,1,0.13490809282209099,0.37610269284727105,Q82,0,List1
P101,57,1,0.13490809282209099,0.37610269284727105,Q81,0,List1
P101,58,1,0.048179271708683476,0.22129965819541042,Q83,0,List1
P101,59,1,0.18372857478281288,0.442982195516753,Q84,0,List1
P101,60,1,0.13015055467511885,0.3690867666899952,Q85,0,List1
P101,61,1,0.021559755123768964,0.1473652021671159,Q86,0,List1
P101,62,1,0.1806374501992032,0.43897806678965196,Q88,1,List1
P101,62,1,0.1806374501992032,0.43897806678965196,Q87,1,List1
P101,63,1,0.027050033103187363,0.16521959814625437,Q90,1,List1
P101,63,1,0.027050033103187363,0.16521959814625437,Q89,0,List1
P102,1,0,0.13677488025545503,0.3788269889661521,Q2,0,List2
P102,1,0,0.13677488025545503,0.3788269889661521,Q1,0,List2
